Series,"11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
Kentucky Offenses,28,37,34,18,31,23,39,40,31,38,36,35,35,23,23,22,37,22,38,29,30,32,37,12,25,29,27,25,17,35,27,25,24,26,29,19,23,15,31,19,32,21,31,22,28,28,22,25,13,15,14,18,13,6,7,6,14,8,11,0,
Kentucky Clearances,12,17,22,12,19,11,17,19,13,15,23,20,19,15,7,9,25,11,21,15,13,20,29,10,18,14,17,16,10,17,8,11,15,22,15,14,11,10,23,12,21,12,12,9,16,14,17,17,9,14,23,10,9,7,4,4,12,4,12,0,
