Series,"11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
Indiana Offenses,40,46,36,31,33,35,36,38,51,33,29,55,46,43,27,31,24,53,31,47,56,43,40,58,33,25,28,30,33,23,30,38,36,29,37,36,34,31,34,27,33,29,25,39,31,36,35,42,29,35,26,12,10,10,10,11,12,14,5,0,
Indiana Clearances,7,17,22,18,11,12,14,10,19,11,13,18,18,19,17,9,8,24,15,17,15,18,19,22,14,14,14,21,13,13,16,12,15,16,19,23,15,27,18,20,19,12,14,29,10,13,22,15,17,15,15,7,7,7,4,5,3,6,1,0,
