Series,"11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
Illinois Offenses,84,84,17,12,13,14,21,15,95,91,104,80,66,73,72,52,55,79,80,83,102,92,86,74,69,64,59,52,56,65,94,88,80,73,69,63,70,53,52,48,57,40,76,72,80,69,59,64,56,54,47,32,46,36,37,44,48,46,47,25,0
Illinois Clearances,3,4,7,6,5,8,10,5,11,18,19,17,19,19,14,21,25,21,22,24,28,38,21,20,24,20,27,23,29,25,28,20,26,21,30,17,25,20,25,19,28,10,22,20,21,23,19,24,20,23,22,21,21,21,11,10,21,13,15,11,0
